,db,mn,algorithm,homogeneity,commpleteness,vmeasure,adjrand,adjmutual,silhouette
0,sharon,"{1,3}-mer",AffinityPropagation,0.5930298217906175,0.4033839120627142,0.4801593582188934,0.2286261810211911,0.43802443755615844,4.3302325661295355e-05
0,sharon,"{1,3}-mer",GaussianMixture,0.301255426854278,0.39513617361456427,0.34186775534822833,0.16258711773487516,0.3261476122294001,-0.048736063133369076
0,sharon,"{1,3}-mer",Spectral,0.5965230498832148,0.44948947132584455,0.5126723148892348,0.28693524784823643,0.4850280278782455,-0.023814203840516943
0,sharon,"{1,3}-mer",BisectingKMeans,0.4907972076505907,0.377015943123675,0.4264474949699985,0.21883051492470768,0.39484259686679657,0.002941037527817254
0,sharon,"{1,3}-mer",MiniBatchKMeans,0.5693169029524668,0.43351694230635324,0.49222216449541106,0.27756455357098053,0.46408168625139284,-0.04495089605615649
0,sharon,"{1,3}-mer",KMeans,0.5570811460480206,0.4420482917919607,0.4929426752401931,0.3155708283654596,0.46611196963971335,0.04231305282129507
0,sharon,"{1,3}-mer",agglomerative.clust,0.6231539098703146,0.46521660981797947,0.5327258394093831,0.3233050313982858,0.5061008509605063,0.003826416364564191
