"V1","db","mn","algorithm","homogeneity","commpleteness","vmeasure","adjrand","adjmutual","silhouette","classes"
0,"low","{3,1}-mer","AffinityPropagation",0.716615700354469,0.303200028301387,0.426112079905006,0.0632859964901806,0.373612172908747,-0.193963843013771,"Replicate 1"
0,"low","{3,1}-mer","GaussianMixture",0.40192814394803,0.468105373540724,0.432499944375429,0.215146103295939,0.429469374809817,0.0414290555322514,"Replicate 1"
0,"low","{3,1}-mer","Spectral",0.573510242925755,0.325326440654599,0.415154497848909,0.113643993922439,0.403107326627761,-0.180320002577743,"Replicate 1"
0,"low","{3,1}-mer","BisectingKMeans",0.538113847745705,0.348186540453863,0.422800218777982,0.129813407251759,0.413553192128995,-0.169011941497945,"Replicate 1"
0,"low","{3,1}-mer","MiniBatchKMeans",0.643569889537864,0.394176883950761,0.488906118801537,0.190641311798024,0.479324587454013,-0.205231682623164,"Replicate 1"
0,"low","{3,1}-mer","KMeans",0.608228538331357,0.423972785582377,0.499655138378014,0.239338141317994,0.492762416466182,-0.135405406882818,"Replicate 1"
0,"low","{3,1}-mer","agglomerative.clust",0.626006682672718,0.361129509369075,0.458030995110733,0.14733368859587,0.447146457115268,-0.281477993079709,"Replicate 1"
0,"low","{0,4}-mer","AffinityPropagation",0.537768278312864,0.209431068040121,0.301460073365628,0.00198129646776844,0.193537841164987,-0.149347501533695,"Replicate 1"
0,"low","{0,4}-mer","GaussianMixture",0.27488937976222,0.354156825038641,0.309528773023116,0.0571367774915918,0.305656131515131,0.195799681460141,"Replicate 1"
0,"low","{0,4}-mer","Spectral",0.38033816121615,0.254170868996007,0.304710812126122,0.0383733669547835,0.29124251802972,-0.0868607126863228,"Replicate 1"
0,"low","{0,4}-mer","BisectingKMeans",0.406427302914878,0.302711962739784,0.346985176354099,0.0382292608068495,0.335793434229878,-0.00168370944435183,"Replicate 1"
0,"low","{0,4}-mer","MiniBatchKMeans",0.562156936065044,0.33053789269551,0.416299418400563,0.143287135588484,0.404932854150833,-0.287718080666741,"Replicate 1"
0,"low","{0,4}-mer","KMeans",0.47102210218379,0.3226929073335,0.382997649658818,0.077832027986486,0.371950722328867,-0.0854494461982379,"Replicate 1"
0,"low","{0,4}-mer","agglomerative.clust",0.499552324221829,0.314997785597172,0.386367576464418,0.0938004621518164,0.374618008110076,-0.224083868955875,"Replicate 1"
0,"low","{1,3}-mer","AffinityPropagation",0.744909639259799,0.318422778230074,0.446137431647948,0.0555970001315005,0.414980221717132,-0.127795698082054,"Replicate 1"
0,"low","{1,3}-mer","GaussianMixture",0.38833919943565,0.445458185968004,0.41494223500623,0.177510299408176,0.411527637643956,0.138834461128702,"Replicate 1"
0,"low","{1,3}-mer","Spectral",0.643465035463178,0.364170151374704,0.465110314585821,0.142404071573311,0.454065334165959,-0.0921481763581339,"Replicate 1"
0,"low","{1,3}-mer","BisectingKMeans",0.563313899953944,0.336612719190924,0.421409078446243,0.110606877737722,0.410991318563564,-0.0893727157963082,"Replicate 1"
0,"low","{1,3}-mer","MiniBatchKMeans",0.651196673247201,0.381277054800508,0.480954319566199,0.155404588709978,0.470889844975148,-0.102950471082219,"Replicate 1"
0,"low","{1,3}-mer","KMeans",0.66358663923153,0.379008532709062,0.482459549457439,0.131733206363643,0.472516088723619,-0.0801625065396247,"Replicate 1"
0,"low","{1,3}-mer","agglomerative.clust",0.689061604608227,0.393205613442287,0.500694997354818,0.156588806258154,0.490696094384209,-0.176190214535742,"Replicate 1"
0,"low","{2,2}-mer","AffinityPropagation",0.756840504472387,0.315839448797233,0.445687620117005,0.0627422768361189,0.400930904281246,-0.140092556087053,"Replicate 1"
0,"low","{2,2}-mer","GaussianMixture",0.38815226391682,0.458548872257527,0.420424103096075,0.181316781315601,0.417039401593397,0.180866761352104,"Replicate 1"
0,"low","{2,2}-mer","Spectral",0.627238423881719,0.367157688605556,0.463186464679488,0.166165743440635,0.452388284957962,-0.103989302338043,"Replicate 1"
0,"low","{2,2}-mer","BisectingKMeans",0.554863318074603,0.331676736595799,0.415176400944731,0.106804691663381,0.40441952900231,-0.113171216912206,"Replicate 1"
0,"low","{2,2}-mer","MiniBatchKMeans",0.639211770868133,0.382981314044939,0.478982234517637,0.188969661410446,0.468648725100639,-0.117066549718797,"Replicate 1"
0,"low","{2,2}-mer","KMeans",0.645752569949979,0.400143777629339,0.494109905540219,0.174346582369188,0.48529959460475,-0.0720002958766248,"Replicate 1"
0,"low","{2,2}-mer","agglomerative.clust",0.658955815126921,0.411266273622163,0.506448718294847,0.230587746757395,0.497199217260221,-0.180609261129869,"Replicate 1"
0,"low","{1,3}-mer","AffinityPropagation",0.744942425861354,0.318432330485287,0.446152687617623,0.0555970114437759,0.414986561508719,-0.127897790959501,"Replicate 2"
0,"low","{1,3}-mer","GaussianMixture",0.411819678803842,0.481783019500331,0.444062509480551,0.228826696384379,0.441060866229342,0.130561349642208,"Replicate 2"
0,"low","{1,3}-mer","Spectral",0.659269287679876,0.371143809702301,0.474923534397737,0.148613789100026,0.464138481772793,-0.0972585655324782,"Replicate 2"
0,"low","{1,3}-mer","BisectingKMeans",0.563313899953944,0.336612719190924,0.421409078446243,0.110606877737722,0.410991318563564,-0.0893727157963082,"Replicate 2"
0,"low","{1,3}-mer","MiniBatchKMeans",0.653285427512548,0.38243454592672,0.482444912212469,0.153657008240638,0.472453938367335,-0.0771888399057086,"Replicate 2"
0,"low","{1,3}-mer","KMeans",0.66643206436662,0.379497240821455,0.483606546575538,0.131337278291168,0.473624996011301,-0.0722049299221264,"Replicate 2"
