"V1","db","mn","algorithm","homogeneity","commpleteness","vmeasure","adjrand","adjmutual","silhouette","classes"
0,"mockup","{1,3}-mer","AffinityPropagation",0.78171783441461,0.525685922236609,0.628632216516839,0.207973424465264,0.591889236273834,0.158966776262904,"Replicate 1"
0,"mockup","{1,3}-mer","GaussianMixture",0.484924742823596,0.56829138786003,0.523308648772813,0.226179740682975,0.50982844821244,0.116720504325644,"Replicate 1"
0,"mockup","{1,3}-mer","Spectral",0.681903676028221,0.55398990186011,0.61132731380704,0.323607387366562,0.588736649882551,0.142271994957505,"Replicate 1"
0,"mockup","{1,3}-mer","BisectingKMeans",0.602962425059534,0.495037347806415,0.543695776820234,0.210854363751713,0.518184797678588,0.106545662648171,"Replicate 1"
0,"mockup","{1,3}-mer","MiniBatchKMeans",0.680321917540352,0.552036777613594,0.609502283021522,0.293352864062336,0.586391301414205,0.158153014942828,"Replicate 1"
0,"mockup","{1,3}-mer","KMeans",0.660197196462195,0.544460093208023,0.5967689403513,0.247927141871579,0.573487212546297,0.17438027335702,"Replicate 1"
0,"mockup","{1,3}-mer","agglomerative.clust",0.716010955406434,0.594829556762688,0.649818914334391,0.328041902881812,0.629514136288016,0.204618266344063,"Replicate 1"
0,"mockup","{2,2}-mer","AffinityPropagation",0.790285520778076,0.537991572509528,0.640178095675176,0.213545895510993,0.605660413228893,0.128775317089902,"Replicate 1"
0,"mockup","{2,2}-mer","GaussianMixture",0.583119802181126,0.640345379026746,0.610394274362651,0.364854017164743,0.599605835106585,0.178859565550428,"Replicate 1"
0,"mockup","{2,2}-mer","Spectral",0.712301254953172,0.571271560341865,0.634038746383133,0.327267522909094,0.612272344155474,0.0997531162438804,"Replicate 1"
0,"mockup","{2,2}-mer","BisectingKMeans",0.58226087359507,0.475415075026548,0.523441224632128,0.185293911379299,0.497149255758346,0.0940638654982172,"Replicate 1"
0,"mockup","{2,2}-mer","MiniBatchKMeans",0.680101767447267,0.568027181659872,0.61903265761334,0.277744916627413,0.597351756661754,0.185586078936111,"Replicate 1"
0,"mockup","{2,2}-mer","KMeans",0.671897500050689,0.553118316295543,0.606749413341751,0.242504467437882,0.584539908583165,0.131251727620053,"Replicate 1"
0,"mockup","{2,2}-mer","agglomerative.clust",0.732422834692875,0.627865732835467,0.676125949783505,0.338687247920351,0.657672746962119,0.195336143198753,"Replicate 1"
0,"mockup","{3,1}-mer","AffinityPropagation",0.78115907158346,0.563897792715568,0.65498178986688,0.234022755706176,0.624181223876297,0.101405298673719,"Replicate 1"
0,"mockup","{3,1}-mer","GaussianMixture",0.556180237140748,0.643360198700882,0.596602193954914,0.31642164022786,0.585270698315168,0.198767306630825,"Replicate 1"
0,"mockup","{3,1}-mer","Spectral",0.743041472889802,0.607502393596517,0.668470657671317,0.360900863930679,0.649642069649245,0.0988234440429952,"Replicate 1"
0,"mockup","{3,1}-mer","BisectingKMeans",0.553582942276874,0.498119555650901,0.52438876919319,0.199070946794015,0.501423989822957,0.0608922302269847,"Replicate 1"
0,"mockup","{3,1}-mer","MiniBatchKMeans",0.703098489387328,0.587809299690582,0.640305735478568,0.300931127691584,0.619031354405478,0.131220740728306,"Replicate 1"
0,"mockup","{3,1}-mer","KMeans",0.703702196152975,0.589935257181694,0.641816198188613,0.285960828505806,0.622443394599289,0.102343842448594,"Replicate 1"
0,"mockup","{3,1}-mer","agglomerative.clust",0.743132140165194,0.625402083069593,0.679203165788194,0.347082461150852,0.660824725137057,0.123841858929979,"Replicate 1"
0,"mockup","{0,4}-mer","AffinityPropagation",0.935253832009822,0.31256217966968,0.468538588287475,-0.00050361311578468,0.00911876867384203,0.106504094681049,"Replicate 1"
0,"mockup","{0,4}-mer","GaussianMixture",0.0848080007270029,0.287142966508378,0.130942102898126,-0.0353709193951027,0.11382106419471,0.793422344478805,"Replicate 1"
0,"mockup","{0,4}-mer","Spectral",0.120618764573614,0.229165444913402,0.158049746664983,-0.0404786190543955,0.113136879391636,0.792883483418661,"Replicate 1"
0,"mockup","{0,4}-mer","BisectingKMeans",0.104779026881067,0.244673748287592,0.146724702567,-0.0204537475494058,0.116784691176034,0.705776666593827,"Replicate 1"
0,"mockup","{0,4}-mer","MiniBatchKMeans",0.115235120925963,0.211554966776225,0.1492001324175,-0.0425726582240377,0.106030953017301,0.815101307838764,"Replicate 1"
0,"mockup","{0,4}-mer","KMeans",0.105128870466588,0.231866213837542,0.144665808466847,-0.0369415563096914,0.106811281529466,0.647042340953464,"Replicate 1"
0,"mockup","{0,4}-mer","agglomerative.clust",0.117703035370508,0.227707953014977,0.155188561737106,-0.039295542096568,0.110559113225395,0.783209443265735,"Replicate 1"
0,"mockup","{1,3}-mer","AffinityPropagation",0.123338453637363,0.0829420615638737,0.0991847979902837,0.00074507198783352,0.0100585015205129,0.158966776262904,"Replicate 2"
0,"mockup","{1,3}-mer","GaussianMixture",0.0275222288996023,0.0313068390739424,0.0292927976184675,0.000470850396197656,0.00229385250462755,0.21452782224069,"Replicate 2"
0,"mockup","{1,3}-mer","Spectral",0.074242113133595,0.0599592260826031,0.0663406143668367,0.00145767828089017,0.0119975414081129,0.105141832724383,"Replicate 2"
0,"mockup","{1,3}-mer","BisectingKMeans",0.0638600927080594,0.051200193470558,0.0568336688581614,0.000290152490015928,0.00314215590548842,0.104958445647955,"Replicate 2"
0,"mockup","{1,3}-mer","MiniBatchKMeans",0.0684678955553477,0.0545252825311128,0.0607063157086925,-0.000251659954069803,0.00532360503763642,0.140029114773719,"Replicate 2"
