,db,mn,algorithm,homogeneity,commpleteness,vmeasure,adjrand,adjmutual,silhouette
0,med,"{1,3}-mer",AffinityPropagation,0.6315620469238394,0.3780337906200922,0.4729650930241964,0.0736886403663414,0.39884583466270485,-0.15122085267704852
0,med,"{1,3}-mer",GaussianMixture,0.29108649706573514,0.4742971818238259,0.3607641736639873,0.10858653756106859,0.3521991249679803,0.08991357963969605
0,med,"{1,3}-mer",Spectral,0.49987001860749053,0.4214520578231046,0.457323781499706,0.21131839268081895,0.42851369977246223,-0.12925229061015342
0,med,"{1,3}-mer",BisectingKMeans,0.5247592886695042,0.36111316244910624,0.4278211519428231,0.08462573727980101,0.38528191567749337,-0.17875661783410374
0,med,"{1,3}-mer",MiniBatchKMeans,0.6056538502472363,0.4020208062384035,0.4832620282958503,0.11860644421299703,0.4402445690917387,-0.1791527544697973
0,med,"{1,3}-mer",KMeans,0.5910590068586721,0.41569299334944754,0.4881025073830321,0.12449036326025387,0.45235363360386993,-0.1400697113456628
0,med,"{1,3}-mer",agglomerative.clust,0.6020795499030627,0.4002845023774891,0.48086942558701357,0.1101383296160585,0.43746889078470486,-0.22087448886709798
0,med,"{2,2}-mer",AffinityPropagation,0.6358706345739307,0.36850260766161175,0.46659942165401747,0.07170215115061863,0.370214525699314,-0.1400047580610269
0,med,"{2,2}-mer",GaussianMixture,0.21058075934210757,0.373823704047387,0.26940273180601154,0.06300027549971639,0.25988221186602856,-0.029793485529500025
0,med,"{2,2}-mer",Spectral,0.46403716088186453,0.38529730306237137,0.4210173358048048,0.1627138473107815,0.38846920955918607,-0.12900014625640507
0,med,"{2,2}-mer",BisectingKMeans,0.5030087304552268,0.3519614391164187,0.41414234779172293,0.08619024669829746,0.3714189859075571,-0.1776406975645809
0,med,"{2,2}-mer",MiniBatchKMeans,0.5939267231117418,0.39337246882508453,0.47327987965497625,0.11625843515375771,0.42887859428802283,-0.21501122710696585
0,med,"{2,2}-mer",KMeans,0.5696115705150465,0.41426889674576645,0.47967688096879085,0.13870931454591223,0.4439413950336427,-0.13813413658218157
0,med,"{2,2}-mer",agglomerative.clust,0.5673118377258504,0.39206045698229636,0.4636793027631185,0.1233989577341448,0.42074091579422795,-0.2403247243628738
0,med,"{3,1}-mer",AffinityPropagation,0.6076143994881152,0.3622817353763705,0.45391994291632465,0.07927401442862586,0.3493728325330906,-0.16624757037737467
0,med,"{3,1}-mer",GaussianMixture,0.11746116087180429,0.31233885207080647,0.1707197908088589,0.03616052097899624,0.16548038304164497,0.07710966232392852
0,med,"{3,1}-mer",Spectral,0.39565605599846965,0.3327762452214463,0.36150219174464365,0.11691743909896703,0.3287806251658836,-0.1979160266567197
0,med,"{3,1}-mer",BisectingKMeans,0.4663221086002555,0.34016655658487843,0.39337734748084746,0.08129210384067088,0.3519949078281139,-0.2381179360563405
0,med,"{3,1}-mer",MiniBatchKMeans,0.5645427066686035,0.3901005221407812,0.46138368344550534,0.13298587238840903,0.4187059500387212,-0.3006305227149851
0,med,"{3,1}-mer",KMeans,0.5396925807594007,0.4304104885634575,0.478896221864069,0.1594438553254101,0.44998806757194143,-0.21317975041835038
0,med,"{3,1}-mer",agglomerative.clust,0.5069269195911954,0.35925556769211164,0.4205033487743156,0.10286155038188771,0.37366835545317734,-0.2994710679757355
0,med,"{0,4}-mer",AffinityPropagation,0.4499904839950662,0.2642280353005814,0.3329516059237212,0.0031419032194379853,0.16332796638579716,-0.11089668859415967
0,med,"{0,4}-mer",GaussianMixture,0.16567478697104612,0.3284049062338099,0.22024144537336388,0.014900282090340868,0.21045705896244887,0.1886174241541483
0,med,"{0,4}-mer",Spectral,0.23546783808020266,0.2670666771683277,0.25027380682494704,0.04884894980805665,0.2219308517536888,-0.1087880905267863
0,med,"{0,4}-mer",BisectingKMeans,0.3436655505274952,0.29178423616374005,0.3156069677152337,0.02056712220173637,0.26903290128394486,-0.09314917249637117
0,med,"{0,4}-mer",MiniBatchKMeans,0.4360959695551703,0.32598785729908614,0.37308754150806833,0.08437558818378882,0.3291261706974942,-0.27592937062752526
0,med,"{0,4}-mer",KMeans,0.3921579977816862,0.333176795516471,0.36026934387896953,0.047545788686733974,0.3211783795455108,-0.13979601591039992
0,med,"{0,4}-mer",agglomerative.clust,0.3801995093232875,0.3174215948368576,0.34598590520244543,0.05258030110077957,0.29688236776870713,-0.12287741158861823
