,db,mn,algorithm,homogeneity,commpleteness,vmeasure,adjrand,adjmutual,silhouette
0,high,"{3,1}-mer",AffinityPropagation,0.6492328819813556,0.6463331437160765,0.6477797677489526,0.12488411775006102,0.4168139314278136,-0.01796853066418771
0,high,"{3,1}-mer",GaussianMixture,0.06146647071351818,0.31401472234812977,0.10280875362860523,0.0010281420896848291,0.07096938410752907,0.1156354401419962
0,high,"{3,1}-mer",Spectral,0.39307726309188457,0.6098138602985493,0.4780258945583106,0.06788339205721065,0.3613059539238305,-0.4096468713548494
0,high,"{3,1}-mer",BisectingKMeans,0.5696651497875496,0.5794025122852533,0.5744925731403082,0.07722459970386737,0.3188149492550143,-0.19153060644441708
0,high,"{3,1}-mer",MiniBatchKMeans,0.597439898300379,0.6283266133731085,0.6124941159969379,0.12159738784472365,0.398117831104904,-0.19161353706690637
0,high,"{3,1}-mer",KMeans,0.550319614093713,0.6317263107011031,0.5882197505620989,0.11210893454116526,0.4091616623963687,-0.08406361599102602
0,high,"{3,1}-mer",agglomerative.clust,0.5586056483140607,0.6316781268576643,0.5928988984634849,0.1018115445197134,0.4031231160610335,-0.06311688033480614
