,db,mn,algorithm,homogeneity,commpleteness,vmeasure,adjrand,adjmutual,silhouette
0,high,"{0,4}-mer",AffinityPropagation,0.3915329809448877,0.5075585207299301,0.44205934602914765,-0.003224761481607517,0.013841246604455222,0.24599698511017778
0,high,"{0,4}-mer",GaussianMixture,0.03142765724953801,0.29189092816072126,0.056745565881061076,-0.0011389920735332976,0.030096160117368757,0.7146828311329417
0,high,"{0,4}-mer",Spectral,0.41766363834274123,0.40334207236695474,0.4103779431591572,-7.264698882409602e-05,-1.094567562180865e-05,-0.8026414446372032
0,high,"{0,4}-mer",BisectingKMeans,0.2574477929658183,0.42838156115565007,0.32161320247963876,-0.0029994783154606093,0.05247744183654926,0.18410004759670492
0,high,"{0,4}-mer",MiniBatchKMeans,0.2847302512359013,0.4467214790249543,0.3477881415630459,-0.0018051138308832343,0.07817186234550266,0.3560400212080777
0,high,"{0,4}-mer",KMeans,0.1952037735655784,0.4157755732386491,0.26567497339179863,-0.0029745829840270885,0.06868324348694729,0.24000302110804136
0,high,"{0,4}-mer",agglomerative.clust,0.21340474951029237,0.41984810402235784,0.2829756833196578,-0.002268732931834115,0.08319838372773591,0.2080859713730455
