,db,mn,algorithm,homogeneity,commpleteness,vmeasure,adjrand,adjmutual,silhouette
0,med,"{0,4}-mer",AffinityPropagation,0.4499904839950662,0.2642280353005814,0.3329516059237212,0.0031419032194379853,0.16332796638579716,-0.11089668859415967
0,med,"{0,4}-mer",GaussianMixture,0.16567478697104612,0.3284049062338099,0.22024144537336388,0.014900282090340868,0.21045705896244887,0.1886174241541483
0,med,"{0,4}-mer",Spectral,0.23546783808020266,0.2670666771683277,0.25027380682494704,0.04884894980805665,0.2219308517536888,-0.1087880905267863
0,med,"{0,4}-mer",BisectingKMeans,0.3436655505274952,0.29178423616374005,0.3156069677152337,0.02056712220173637,0.26903290128394486,-0.09314917249637117
0,med,"{0,4}-mer",MiniBatchKMeans,0.4360959695551703,0.32598785729908614,0.37308754150806833,0.08437558818378882,0.3291261706974942,-0.27592937062752526
0,med,"{0,4}-mer",KMeans,0.3921579977816862,0.333176795516471,0.36026934387896953,0.047545788686733974,0.3211783795455108,-0.13979601591039992
0,med,"{0,4}-mer",agglomerative.clust,0.3801995093232875,0.3174215948368576,0.34598590520244543,0.05258030110077957,0.29688236776870713,-0.12287741158861823
