"db","mn","algorithm","homogeneity","commpleteness","vmeasure","adjrand","adjmutual","silhouette"
"low","{3,1}-mer","AffinityPropagation",0.716615700354469,0.303200028301387,0.426112079905006,0.0632859964901806,0.373612172908747,-0.193963843013771
"low","{3,1}-mer","BisectingKMeans",0.538113847745705,0.348186540453863,0.422800218777982,0.129813407251759,0.413553192128995,-0.169011941497945
"low","{3,1}-mer","GaussianMixture",0.372429614549033,0.453793137782553,0.408992875207926,0.200613729573091,0.406077404284039,0.033446090281804
"low","{3,1}-mer","KMeans",0.611611018220891,0.418581904318756,0.496988244639151,0.210880353479543,0.490043299362186,-0.129671136913359
"low","{3,1}-mer","MiniBatchKMeans",0.633066934362709,0.396092440302904,0.487200808587354,0.189576844403879,0.477881844315837,-0.213904527291824
"low","{3,1}-mer","Spectral",0.578728514436494,0.326900286290204,0.417800419945325,0.112962021460341,0.405761433101149,-0.184280741413395
"low","{3,1}-mer","agglomerative.clust",0.626006682672718,0.361129509369075,0.458030995110733,0.14733368859587,0.447146457115268,-0.281477993079709
"low","{2,2}-mer","AffinityPropagation",0.756825450572577,0.315835150690044,0.445680730591518,0.0627422692248264,0.400927678078166,-0.140100068182234
"low","{2,2}-mer","BisectingKMeans",0.554863318074603,0.331676736595799,0.415176400944731,0.106804691663381,0.40441952900231,-0.113171216912206
"low","{2,2}-mer","GaussianMixture",0.383162998606428,0.449999657509968,0.413844507428577,0.18280056436641,0.410511007231696,0.152198682782765
"low","{2,2}-mer","KMeans",0.653953803836068,0.399632246578355,0.496062275935716,0.176545495314855,0.486948598350062,-0.0792603436854135
"low","{2,2}-mer","MiniBatchKMeans",0.648333141520754,0.385986194238146,0.483883218770531,0.178313182836508,0.473672578314656,-0.10497219296302
"low","{2,2}-mer","Spectral",0.629866676792094,0.36734748127073,0.464051719655983,0.163496288097584,0.45325205377808,-0.106747802798276
"low","{2,2}-mer","agglomerative.clust",0.658955815126921,0.411266273622163,0.506448718294847,0.230587746757395,0.497199217260221,-0.180609261129869
"low","{1,3}-mer","AffinityPropagation",0.744920568126984,0.318425962315145,0.446142516971173,0.055597003902259,0.414982334980994,-0.127829729041203
"low","{1,3}-mer","BisectingKMeans",0.563313899953944,0.336612719190924,0.421409078446243,0.110606877737722,0.410991318563564,-0.0893727157963082
"low","{1,3}-mer","GaussianMixture",0.397626803548873,0.458228015910981,0.425768295546769,0.197325063864129,0.422499994146876,0.139278136028747
"low","{1,3}-mer","KMeans",0.671240015935569,0.38331710203739,0.48797259038773,0.13476892186619,0.478134727278958,-0.0732510965974821
"low","{1,3}-mer","MiniBatchKMeans",0.654985905807013,0.378674533957926,0.479864000770312,0.148871474746812,0.469615430022562,-0.0977961614938547
"low","{1,3}-mer","Spectral",0.651121895755312,0.368175995795408,0.470376409476478,0.145788333785977,0.45949933246737,-0.0960338855137109
"low","{1,3}-mer","agglomerative.clust",0.689061604608227,0.393205613442287,0.500694997354818,0.156588806258154,0.490696094384209,-0.176190214535742
"low","{0,4}-mer","AffinityPropagation",0.541689522662428,0.208107868255865,0.300685346925963,0.00166030184236462,0.191316101565976,-0.210752930644874
"low","{0,4}-mer","BisectingKMeans",0.406427302914878,0.302711962739784,0.346985176354099,0.0382292608068495,0.335793434229878,-0.00168370944435183
"low","{0,4}-mer","GaussianMixture",0.278286464397799,0.36955125619026,0.317455022696988,0.0592984735132887,0.313601023629926,0.201691567490598
"low","{0,4}-mer","KMeans",0.471715159466075,0.318975098123914,0.380581772306456,0.0766336579624113,0.369366993048199,-0.100801985078963
"low","{0,4}-mer","MiniBatchKMeans",0.560074199213797,0.334313675778504,0.418640775072395,0.146900863961424,0.407499698744768,-0.290322509083954
"low","{0,4}-mer","Spectral",0.377685657824618,0.251679827594323,0.302058663263505,0.0388862663894236,0.288323726259157,-0.0808877772473964
"low","{0,4}-mer","agglomerative.clust",0.499552324221829,0.314997785597172,0.386367576464418,0.0938004621518164,0.374618008110076,-0.224083868955875
