"V1","db","mn","algorithm","homogeneity","commpleteness","vmeasure","adjrand","adjmutual","silhouette","classes"
0,"med","{3,1}-mer","AffinityPropagation",0.607614399488115,0.36228173537637,0.453919942916325,0.0792740144286259,0.349372832533091,-0.166247570377375,"Replicate 1"
0,"med","{3,1}-mer","GaussianMixture",0.117461160871804,0.312338852070806,0.170719790808859,0.0361605209789962,0.165480383041645,0.0771096623239285,"Replicate 1"
0,"med","{3,1}-mer","Spectral",0.39565605599847,0.332776245221446,0.361502191744644,0.116917439098967,0.328780625165884,-0.19791602665672,"Replicate 1"
0,"med","{3,1}-mer","BisectingKMeans",0.466322108600256,0.340166556584878,0.393377347480847,0.0812921038406709,0.351994907828114,-0.23811793605634,"Replicate 1"
0,"med","{3,1}-mer","MiniBatchKMeans",0.564542706668604,0.390100522140781,0.461383683445505,0.132985872388409,0.418705950038721,-0.300630522714985,"Replicate 1"
0,"med","{3,1}-mer","KMeans",0.539692580759401,0.430410488563457,0.478896221864069,0.15944385532541,0.449988067571941,-0.21317975041835,"Replicate 1"
0,"med","{3,1}-mer","agglomerative.clust",0.506926919591195,0.359255567692112,0.420503348774316,0.102861550381888,0.373668355453177,-0.299471067975736,"Replicate 1"
0,"med","{0,4}-mer","AffinityPropagation",0.449990483995066,0.264228035300581,0.332951605923721,0.00314190321943799,0.163327966385797,-0.11089668859416,"Replicate 1"
0,"med","{0,4}-mer","GaussianMixture",0.165674786971046,0.32840490623381,0.220241445373364,0.0149002820903409,0.210457058962449,0.188617424154148,"Replicate 1"
0,"med","{0,4}-mer","Spectral",0.235467838080203,0.267066677168328,0.250273806824947,0.0488489498080567,0.221930851753689,-0.108788090526786,"Replicate 1"
0,"med","{0,4}-mer","BisectingKMeans",0.343665550527495,0.29178423616374,0.315606967715234,0.0205671222017364,0.269032901283945,-0.0931491724963712,"Replicate 1"
0,"med","{0,4}-mer","MiniBatchKMeans",0.43609596955517,0.325987857299086,0.373087541508068,0.0843755881837888,0.329126170697494,-0.275929370627525,"Replicate 1"
0,"med","{0,4}-mer","KMeans",0.392157997781686,0.333176795516471,0.36026934387897,0.047545788686734,0.321178379545511,-0.1397960159104,"Replicate 1"
0,"med","{0,4}-mer","agglomerative.clust",0.380199509323287,0.317421594836858,0.345985905202445,0.0525803011007796,0.296882367768707,-0.122877411588618,"Replicate 1"
0,"med","{1,3}-mer","AffinityPropagation",0.631562046923839,0.378033790620092,0.472965093024196,0.0736886403663414,0.398845834662705,-0.151220852677049,"Replicate 1"
0,"med","{1,3}-mer","GaussianMixture",0.291086497065735,0.474297181823826,0.360764173663987,0.108586537561069,0.35219912496798,0.0899135796396961,"Replicate 1"
0,"med","{1,3}-mer","Spectral",0.499870018607491,0.421452057823105,0.457323781499706,0.211318392680819,0.428513699772462,-0.129252290610153,"Replicate 1"
0,"med","{1,3}-mer","BisectingKMeans",0.524759288669504,0.361113162449106,0.427821151942823,0.084625737279801,0.385281915677493,-0.178756617834104,"Replicate 1"
0,"med","{1,3}-mer","MiniBatchKMeans",0.605653850247236,0.402020806238404,0.48326202829585,0.118606444212997,0.440244569091739,-0.179152754469797,"Replicate 1"
0,"med","{1,3}-mer","KMeans",0.591059006858672,0.415692993349448,0.488102507383032,0.124490363260254,0.45235363360387,-0.140069711345663,"Replicate 1"
0,"med","{1,3}-mer","agglomerative.clust",0.602079549903063,0.400284502377489,0.480869425587014,0.110138329616059,0.437468890784705,-0.220874488867098,"Replicate 1"
0,"med","{2,2}-mer","AffinityPropagation",0.635870634573931,0.368502607661612,0.466599421654017,0.0717021511506186,0.370214525699314,-0.140004758061027,"Replicate 1"
0,"med","{2,2}-mer","GaussianMixture",0.210580759342108,0.373823704047387,0.269402731806012,0.0630002754997164,0.259882211866029,-0.0297934855295,"Replicate 1"
