"AUC_C5","AUC_sda","AUC_rf","AUC_knn","AUC_pda"
1,1,1,1,1
0.977575972330476,0.997160493827161,0.999372338575452,0.959560206879794,0.994192620431817
0.981914156336956,0.999838451858654,0.999991497466245,0.983164983164983,0.996912539120331
0.985776698650075,0.999906725469496,0.999651394380832,0.983181818181818,0.999372895622896
0.986734997810598,0.9975850093953,0.999902220861817,0.976430976430976,0.998163452708907
0.990441092167115,0.996939000193192,0.99993197972996,0.979763268423062,0.998677680691114
0.99344884719524,0.999676903717308,0.999872375233126,0.969713804713805,1
0.980797223168089,0.999931459166668,0.99992699099842,0.978114478114478,0.998883478501083
0.984619540755272,0.997444900057179,0.999854065179633,0.981481481481482,0.998106962647434
0.985929270840236,0.998264869529058,0.9999098468457,0.984848484848485,0.9984339559993
0.976539513877176,0.999393023202547,0.999658770762667,0.971380471380471,0.998300924798039
0.986352863565714,0.999770431588613,0.999927728463082,0.97979797979798,1
0.987166696294052,0.998278149259613,0.999709949647469,0.978079766739561,0.999362309968371
0.990902375642635,0.998618338264803,0.99966388963503,0.983164983164983,0.99957062204537
0.979284978985593,0.999786910726201,0.999834200591776,0.978079766739561,0.999991497466245
0.98297941010648,0.99993197972996,0.999812944257389,0.983164983164983,0.999957487331225
0.986377889064549,0.999204837783928,0.999859708193041,0.978114478114478,0.998665102200456
0.975402560269083,0.999855456926164,0.999812944257389,0.986531986531987,0.999838451858654
0.990128285980642,0.999948464234178,0.999913398661558,0.983181818181818,0.999957053528482
0.983110987692889,0.99994898479747,0.999974492398735,0.984848484848485,0.998920178213108
0.97771485902799,0.997946638098153,0.999885215794307,0.981481481481482,0.999315546032718
0.984997801612922,0.997356732306227,0.999796449341904,0.97983164983165,0.993711938013198
0.992306681880996,1,0.999991497466245,0.97979797979798,1
0.988958943631181,0.996574074074074,0.99983164983165,0.976632996632997,0.999569676248058
0.985150324796789,0.997699976964269,0.999687553798248,0.97979797979798,0.998554393951666
0.969383515462866,0.999812944257389,0.999906472128694,0.976430976430976,0.99900095228378
0.980610935976447,0.998124665377087,0.999334523337439,0.97979797979798,0.999795939189879
0.987792562741239,0.998488190286512,0.999638008158411,0.974730296158868,0.999871420867092
0.980686143955435,0.999787436656123,0.999906472128694,0.974747474747475,0.999991497466245
0.991567395247049,0.999855370165615,1,0.983147804576376,0.996152125850163
0.983486425439156,0.999974577424072,0.99994898479747,0.981498316498316,0.998480469679965
0.967692727545262,0.999922956632913,0.999957227049579,0.976430976430976,0.999773338066989
0.985266670692356,0.99993197972996,0.999846694110763,0.984848484848485,0.999634391048532
0.988511881228106,0.999940482263714,0.999825166649662,0.984848484848485,0.999889467061184
0.982064448862399,0.998470928515111,0.99993987136212,0.97979797979798,0.998956485713786
0.985757949167821,0.997414879118513,0.999812768947414,0.986531986531987,0.998611807968259
0.989794568156311,0.999165688875285,0.999186413801313,0.973063973063973,0.99853703278577
0.987820771099992,0.999106973674073,0.999804441723634,0.993265993265993,0.999774682855491
0.986639846870244,0.999872717069687,0.999846954392409,0.984848484848485,0.998809640014992
0.981964265976261,0.999880964527429,0.999872461993674,0.981481481481482,1
0.983682423076362,0.999243100974703,0.999855456926164,0.983164983164983,0.996930585314424
0.984347462598493,0.999899158249158,0.99996632996633,0.988333333333333,0.999983164983165
0.98959099472357,1,0.999524238988525,0.979983164983165,0.999991582491582
0.980336919474168,0.999444097330695,0.999991582491582,0.971666666666667,0.999873737373737
0.974330058903472,0.999786742571735,0.999450431572997,0.978097299525871,1
0.987845844898514,0.99994898479747,1,0.976430976430976,0.999888163882333
0.978477213556579,0.999755892255892,0.999974492398735,0.976430976430976,0.999111485222596
0.982192100462433,0.996513961160426,0.999944733530592,0.978114478114478,0.998616059235137
0.985462929654068,0.999889467061184,0.999991497466245,0.978114478114478,0.999701490941208
0.986498038193732,0.999822041968507,0.999974492398735,0.98486531986532,0.999894611094106
0.990202034208929,0.99711450336627,0.999883336131495,0.97979797979798,0.995365880735594
