Sensibility,Specificity,F1,Acuracy,AUC,Precision,Recall
0.547808764940239,0.45617529880478086,0.5009444278755343,0.50199203187251,0.4980159045094522,0.5020088999871942,0.50199203187251
0.43824701195219123,0.5298804780876494,0.4829784272790536,0.48406374501992033,0.48582363772003617,0.48392880010244593,0.48406374501992033
0.5318725099601593,0.4362549800796813,0.4828817792767711,0.48406374501992033,0.4833970889350963,0.48391670004004805,0.48406374501992033
0.5418326693227091,0.4342629482071713,0.4865625310914337,0.48804780876494025,0.4926251170616339,0.487907887975334,0.48804780876494025
0.4262948207171315,0.5717131474103586,0.49634133084402204,0.499003984063745,0.5070435389914446,0.49898246680855374,0.499003984063745
0.42828685258964144,0.5617529880478087,0.49276103184069786,0.4950199203187251,0.4982480436818463,0.4949296002262489,0.4950199203187251
0.5159362549800797,0.46613545816733065,0.49072008783084226,0.4910358565737052,0.49246043713591847,0.4910135691525545,0.4910358565737052
0.4402390438247012,0.547808764940239,0.4925559645806387,0.4940239043824701,0.49006761797431786,0.493953943987667,0.4940239043824701
0.3605577689243028,0.6294820717131474,0.48572173317397305,0.4950199203187251,0.4958591927112268,0.49463168205869645,0.4950199203187251
0.4342629482071713,0.599601593625498,0.5136081635996232,0.5169322709163346,0.5175334518499707,0.5174081553556494,0.5169322709163346
0.46215139442231074,0.5219123505976095,0.4915779314398739,0.49203187250996017,0.48976206726877347,0.49200331336816616,0.49203187250996017
0.46215139442231074,0.5557768924302788,0.5078857076954127,0.5089641434262948,0.5086268471929016,0.5090434156007926,0.5089641434262948
0.45617529880478086,0.5358565737051793,0.4952147024689591,0.4960159362549801,0.4943393755654672,0.4959904793853133,0.4960159362549801
0.6394422310756972,0.37250996015936255,0.4970163424438923,0.5059760956175299,0.5003611053792796,0.5064345775225595,0.5059760956175299
0.46613545816733065,0.5219123505976095,0.4936300673529037,0.4940239043824701,0.4981944731036016,0.4940052543587294,0.4940239043824701
0.4681274900398406,0.5278884462151394,0.49755936754058117,0.49800796812749004,0.501140854907065,0.49800082834204157,0.49800796812749004
0.4900398406374502,0.49203187250996017,0.4910353516564734,0.4910358565737052,0.4881390771575055,0.49103582100213095,0.4910358565737052
0.4860557768924303,0.5119521912350598,0.4989199749565162,0.499003984063745,0.5036487516071173,0.4990033156630334,0.499003984063745
0.5059760956175299,0.4960159362549801,0.5009836397348786,0.500996015936255,0.5032003460262535,0.5009961147555947,0.500996015936255
0.4701195219123506,0.5179282868525896,0.49373461446835537,0.4940239043824701,0.49022832970905217,0.4940102136595765,0.4940239043824701
0.448207171314741,0.5358565737051793,0.49105438931297707,0.49203187250996017,0.49458937159727623,0.49197018410992216,0.49203187250996017
0.46215139442231074,0.5318725099601593,0.49639994795344816,0.49701195219123506,0.5003591212837891,0.49699735623796254,0.49701195219123506
0.5258964143426295,0.450199203187251,0.4873133764897096,0.48804780876494025,0.4896529420167933,0.4879789272030651,0.48804780876494025
0.5637450199203188,0.4442231075697211,0.5022062571683445,0.5039840637450199,0.5058411771241726,0.5040418028695189,0.5039840637450199
0.43824701195219123,0.5617529880478087,0.4980859852694558,0.5,0.49980952683290736,0.5,0.5
0.649402390438247,0.34462151394422313,0.4850534274080929,0.49701195219123506,0.4923195663560896,0.4967059646973906,0.49701195219123506
0.4581673306772908,0.5258964143426295,0.4914486621774626,0.49203187250996017,0.4974147235758162,0.49199515244291364,0.49203187250996017
0.5059760956175299,0.4800796812749004,0.4929428772422798,0.49302788844621515,0.49249218266376726,0.49302320964123336,0.49302788844621515
0.6075697211155379,0.38247011952191234,0.4885410355419308,0.4950199203187251,0.48782559006999887,0.4947541120655422,0.4950199203187251
0.49203187250996017,0.5079681274900398,0.49996825245646614,0.5,0.5052459484770083,0.5,0.5
0.5836653386454184,0.4063745019920319,0.4910203530664587,0.4950199203187251,0.4962956937191473,0.4948583063957752,0.4950199203187251
0.5298804780876494,0.49203187250996017,0.5107809716619279,0.5109561752988048,0.5138807320518722,0.5109718927210373,0.5109561752988048
0.5258964143426295,0.5,0.5128665362897344,0.5129482071713147,0.508743908826844,0.5129568963805665,0.5129482071713147
0.48406374501992033,0.5358565737051793,0.5096313062124009,0.5099601593625498,0.5139045411977587,0.5099869493251846,0.5099601593625498
0.6055776892430279,0.398406374501992,0.4965904532691536,0.50199203187251,0.4940119998095268,0.5020813639152859,0.50199203187251
0.42828685258964144,0.5976095617529881,0.5094320392569478,0.5129482071713147,0.5074721036174029,0.5133303919045343,0.5129482071713147
0.4681274900398406,0.5378486055776892,0.5023833149084567,0.5029880478087649,0.5065554515007699,0.5030026437620375,0.5029880478087649
0.5677290836653387,0.42828685258964144,0.4955558479777014,0.49800796812749004,0.4988809701433311,0.4979684667184667,0.49800796812749004
0.5657370517928287,0.4262948207171315,0.4935540854696765,0.4960159362549801,0.5096427040840621,0.49593693343693346,0.4960159362549801
0.5258964143426295,0.47410358565737054,0.49966446284273436,0.5,0.504861033951842,0.5,0.5
0.5159362549800797,0.4760956175298805,0.49581586636178865,0.4960159362549801,0.4891628704306281,0.49600960239105896,0.4960159362549801
0.6414342629482072,0.3804780876494024,0.502486236634018,0.5109561752988048,0.5105772130601102,0.511756790706983,0.5109561752988048
0.5776892430278885,0.4123505976095618,0.49154502875259587,0.4950199203187251,0.4903711845843717,0.494879954307162,0.4950199203187251
0.4860557768924303,0.5119521912350598,0.4989199749565162,0.499003984063745,0.4991250138886685,0.4990033156630334,0.499003984063745
0.5657370517928287,0.4342629482071713,0.4978299424107766,0.5,0.498464310090316,0.5,0.5
